진료년월,요양기관소재지구분,계,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2017년 12월,내원일수,"7,127,913","1,349,864","498,378","364,222","316,819","228,521","219,392","186,409","1,806,515","200,915","194,937","302,772","260,486","251,094","344,208","482,307","83,068","38,006"
2018년 01월,환자수,"4,732,920","901,792","315,983","238,319","216,718","149,090","148,875","117,226","1,161,525","153,953","129,130","209,740","183,113","183,843","256,158","321,374","61,387","23,555"
2018년 01월,내원일수,"6,979,753","1,325,183","473,074","342,296","318,419","218,850","212,480","175,992","1,692,983","225,385","184,278","304,783","272,767","277,206","368,730","464,562","87,890","34,875"
2018년 02월,환자수,"3,114,588","574,716","216,520","153,269","144,645","108,458","100,318","81,000","745,168","94,519","87,573","136,643","132,589","127,812","163,707","216,389","39,732","16,089"
2018년 02월,내원일수,"4,447,420","816,228","313,974","214,148","205,165","156,943","139,709","117,975","1,058,077","133,238","120,794","190,330","191,122","184,309","224,082","303,641","54,760","22,925"
2018년 03월,환자수,"3,425,661","646,147","233,499","175,555","155,830","116,752","111,844","85,400","877,349","99,679","90,941","145,561","136,171","119,889","165,515","220,943","47,482","20,351"
2018년 03월,내원일수,"5,136,868","970,923","353,300","261,772","230,570","176,277","161,713","130,002","1,321,315","148,135","131,583","210,482","204,893","177,108","233,286","323,095","69,241","33,173"
2018년 04월,환자수,"3,683,718","717,626","248,408","188,181","170,282","121,232","125,335","93,537","956,005","106,511","98,362","152,574","139,145","119,990","170,751","234,941","47,369","21,319"
2018년 04월,내원일수,"5,573,624","1,085,884","378,844","282,082","257,171","184,167","181,212","144,101","1,450,214","159,561","142,924","222,992","210,691","177,672","243,638","347,738","69,399","35,334"
2018년 05월,환자수,"3,293,809","639,143","221,477","170,704","145,979","106,944","106,268","80,455","858,093","98,493","91,336","137,165","128,476","110,575","153,511","209,472","44,638","19,524"
2018년 05월,내원일수,"4,926,680","949,852","334,766","251,837","217,598","162,773","152,168","122,372","1,280,185","145,005","132,061","198,510","193,694","164,271","218,119","307,684","65,053","30,725"
2018년 06월,환자수,"2,614,360","500,070","180,003","136,348","116,873","83,562","81,797","65,121","686,120","74,900","71,305","108,604","101,271","83,449","122,849","169,157","36,808","16,501"
2018년 06월,내원일수,"3,933,731","749,578","275,348","203,380","175,389","127,878","117,730","99,421","1,027,595","110,693","104,048","157,650","153,964","124,237","176,287","251,213","53,572","25,748"
2018년 07월,환자수,"2,294,543","437,099","152,192","116,998","102,138","74,028","73,855","55,756","610,585","65,649","65,776","94,812","88,736","70,905","107,334","151,555","31,297","16,686"
2018년 07월,내원일수,"3,449,474","652,212","232,994","172,366","152,397","113,351","105,961","85,071","914,181","94,935","96,852","137,520","136,241","105,260","153,697","225,487","45,026","25,923"
2018년 08월,환자수,"2,081,577","394,449","137,959","104,790","91,789","68,709","69,022","48,957","548,935","61,112","57,769","88,523","84,218","69,264","97,096","135,316","29,488","14,671"
2018년 08월,내원일수,"3,044,013","566,034","211,068","149,299","134,530","103,167","96,678","73,108","790,976","85,663","81,187","126,460","126,842","101,813","135,459","197,918","41,807","22,004"
2018년 09월,환자수,"3,044,447","580,977","190,537","155,695","135,266","105,756","100,360","70,170","836,151","84,940","84,247","127,438","117,847","96,569","137,419","189,250","37,059","22,071"
2018년 09월,내원일수,"4,488,733","844,749","284,502","225,909","199,319","158,487","142,157","104,332","1,231,323","121,395","119,842","182,009","176,521","143,192","193,355","274,880","52,955","33,806"
2018년 10월,환자수,"3,592,911","694,838","237,281","183,180","158,209","117,899","115,352","85,650","948,314","100,928","96,457","153,819","140,407","116,969","167,305","230,840","46,285","23,582"
2018년 10월,내원일수,"5,368,504","1,027,248","357,924","270,050","237,297","179,908","166,635","129,417","1,419,357","147,178","139,045","222,978","213,425","173,841","238,636","340,157","68,359","37,049"
2018년 11월,환자수,"3,964,848","768,710","248,964","204,332","175,736","127,752","126,302","92,575","1,065,416","114,241","110,571","166,314","151,228","129,503","184,379","249,812","49,400","26,672"
2018년 11월,내원일수,"6,002,205","1,156,678","377,776","305,938","265,859","195,556","184,654","142,514","1,620,540","169,667","161,127","244,822","231,655","193,695","265,480","370,514","72,697","43,033"
2018년 12월,환자수,"4,553,631","863,131","299,483","223,619","205,033","144,818","150,917","110,761","1,174,118","139,938","126,717","199,988","181,828","158,278","219,410","306,322","56,303","28,307"
2018년 12월,내원일수,"6,754,627","1,276,449","448,541","326,951","303,596","215,364","216,809","166,283","1,743,755","204,027","180,740","289,110","271,144","233,402","310,464","443,394","82,389","42,209"
2019년 01월,환자수,"3,358,027","632,848","229,381","158,413","154,560","115,077","105,833","82,931","834,069","103,987","97,753","143,936","134,583","128,173","170,747","222,540","47,109","19,268"
2019년 01월,내원일수,"4,899,922","917,304","339,737","226,273","227,204","168,674","150,957","122,857","1,211,875","149,082","138,037","203,268","198,926","189,975","239,752","319,037","68,348","28,616"
2019년 02월,환자수,"2,609,169","494,998","187,205","125,849","120,447","88,222","83,833","68,228","632,351","74,903","71,764","107,870","106,980","98,087","132,504","183,500","37,178","15,340"
2019년 02월,내원일수,"3,707,948","698,407","270,111","175,067","172,493","128,192","115,986","98,495","894,691","104,080","98,552","147,774","153,779","139,398","179,890","256,546","52,233","22,254"
2019년 03월,환자수,"3,330,915","640,903","216,739","169,949","145,310","117,916","107,822","79,778","887,358","95,772","88,318","135,746","128,273","114,745","149,920","205,651","45,907","22,373"
2019년 03월,내원일수,"4,926,702","942,689","323,114","248,184","214,612","176,819","154,134","120,206","1,319,784","138,952","126,215","193,584","191,718","169,056","210,199","296,210","66,956","34,270"
2019년 04월,환자수,"3,887,897","783,841","251,069","195,542","172,791","138,428","124,861","92,990","1,026,453","111,480","102,226","154,362","148,939","130,677","172,476","236,054","48,117","25,486"
2019년 04월,내원일수,"5,841,616","1,173,267","379,694","290,110","260,162","208,864","179,982","142,307","1,547,499","163,688","148,189","222,908","224,775","196,264","246,463","346,038","71,774","39,632"
2019년 05월,환자수,"3,348,706","669,972","218,060","172,587","146,494","112,218","105,842","81,766","894,014","97,207","88,823","132,405","126,311","110,893","145,178","207,384","44,220","22,090"
2019년 05월,내원일수,"5,043,126","1,000,439","329,815","256,690","221,297","171,355","152,926","125,633","1,347,813","142,403","129,532","192,834","191,496","166,864","207,146","306,995","65,604","34,284"
2019년 06월,환자수,"2,447,393","484,457","159,242","125,800","104,128","81,845","78,273","59,867","666,435","70,148","65,795","96,740","93,215","78,417","102,626","148,646","33,267","16,984"
2019년 06월,내원일수,"3,627,053","714,951","237,279","184,290","154,467","122,474","112,345","90,586","991,137","100,495","94,490","137,637","139,144","114,321","144,621","214,715","48,269","25,832"
